,Window_Velocity_Max,Mean_0,Mean_6,Mean_12,Mean_18,cgmTrend,FFT_1,FFT_2,FFT_3,FFT_4,FFT_5,FFT_6,FFT_7,FFT_8,acc1,acc2,acc3,acc4,Entropy
86,46.0,103.33333333333333,119.5,125.0,120.16666666666667,40.0,4651.0,668.7990040400616,668.7990040400616,117.726119732791,117.72611973279093,89.57469881453419,89.57469881453417,87.23816982330442,-0.3,3.2,-2.15,0.45,2.783028220384718
89,38.0,272.0,241.5,185.66666666666666,166.0,46.666666666666664,5638.0,1075.6710514949218,1075.6710514949216,365.79116001862155,365.7911600186215,228.0688144840784,228.06881448407833,174.67941552136065,-1.35,-2.1,0.4,1.1,3.308777757587496
90,37.0,113.83333333333333,147.16666666666666,152.16666666666666,138.16666666666666,50.0,6881.0,948.2444621283041,948.244462128304,210.14436905424066,210.14436905424066,119.20971890490705,119.20971890490704,102.49336589153594,2.25,0.1,-1.75,0.35,2.9390992612888582
91,51.0,112.0,164.33333333333334,185.83333333333334,181.0,43.333333333333336,4734.0,1049.8138076583568,1049.8138076583566,253.6148429920231,253.61484299202309,175.9340015678584,175.9340015678584,134.49004455001548,2.5,-0.8,-1.65,0.05,3.042845487816544
92,68.0,145.5,210.66666666666666,229.0,190.83333333333334,46.666666666666664,4812.0,456.41344788033035,456.41344788033035,187.38382050781928,187.38382050781928,69.33550602712347,69.33550602712346,43.57751713900188,2.75,-0.7,-2.55,-1.25,3.2163581335128364
93,80.0,86.16666666666667,150.33333333333334,214.0,206.83333333333334,50.0,4452.0,1000.6523881039996,1000.6523881039994,326.4074661752993,326.4074661752993,243.80216509152717,243.80216509152714,186.70992246745453,1.0,2.3,-1.6,-1.75,3.170148321475507
94,20.0,215.0,219.0,211.33333333333334,213.83333333333334,53.333333333333336,6890.0,551.8398910004536,551.8398910004536,81.49656342598742,81.4965634259874,75.06653486974186,75.06653486974184,74.84180471685895,1.15,-1.85,0.3,0.7,2.3988123371064316
95,45.0,279.5,277.5,207.0,141.5,43.333333333333336,4121.0,1034.684497381525,1034.684497381525,116.24314071951672,116.24314071951672,89.77066325518363,89.77066325518363,70.36826147297208,-0.8,-3.15,0.25,-0.05,3.308777757587496
96,63.0,125.33333333333333,181.33333333333334,201.16666666666666,208.33333333333334,46.666666666666664,3721.0,632.2681217207735,632.2681217207735,441.44601873523567,441.44601873523567,82.95700084872323,82.95700084872323,69.146484711886,0.35,1.4,-2.9,1.1,3.262567945550166
97,41.0,140.16666666666666,181.66666666666666,207.16666666666666,221.66666666666666,46.666666666666664,7933.0,833.8271093261868,833.8271093261868,428.46897783090805,428.46897783090805,236.32402357877223,236.32402357877217,187.95721512726405,1.95,-0.15,-0.45,-0.05,3.123938509438177
98,112.0,208.16666666666666,318.1666666666667,339.8333333333333,364.3333333333333,43.333333333333336,2405.0,411.8109578919409,411.81095789194086,279.9737369919373,279.9737369919373,167.76976675214013,167.7697667521401,83.64807230295268,0.05,1.2,-2.95,-0.25,3.308777757587496
99,51.0,209.16666666666666,246.16666666666666,265.1666666666667,295.8333333333333,53.333333333333336,6919.0,1568.684732730458,1568.684732730458,754.1845968149025,754.1845968149025,379.0145411415316,379.01454114153154,326.98912688444426,2.9,0.85,-1.6,0.9,3.152706716683355
100,-1.0,296.8333333333333,240.16666666666666,201.66666666666666,187.0,56.666666666666664,7192.0,621.6462670445421,621.6462670445421,165.93994412896134,165.93994412896132,85.82916663333599,85.82916663333599,67.52124614216663,0.7,0.05,0.85,-0.35,3.308777757587496
101,102.0,163.66666666666666,272.6666666666667,310.8333333333333,306.1666666666667,43.333333333333336,6177.0,336.3930537447796,336.3930537447796,125.69743794222909,125.69743794222907,72.05691640029998,72.05691640029998,37.39607555396906,3.7,0.55,-3.9,-0.95,3.245126340758014
102,72.0,136.66666666666666,201.83333333333334,205.0,183.66666666666666,36.666666666666664,4028.0,201.01041922799672,201.01041922799672,94.20945808638804,94.20945808638803,68.82118995239188,68.82118995239188,44.636114292674286,0.35,-0.95,-2.3,-0.15,3.308777757587496
103,49.0,196.83333333333334,227.0,220.16666666666666,170.0,56.666666666666664,7086.0,773.1818702803625,773.1818702803625,221.32368156303895,221.32368156303892,167.6410351574536,167.64103515745356,134.50278807519194,2.05,-3.45,0.7,-3.0,3.152706716683355
104,42.0,112.33333333333333,136.83333333333334,139.5,127.83333333333333,50.0,4687.0,613.405234259789,613.405234259789,223.01134376155161,223.01134376155161,129.90895358600875,129.9089535860087,126.07317463540922,-0.3,2.35,-2.6,0.7,3.014077280571366
109,59.0,146.5,186.0,176.66666666666666,166.33333333333334,36.666666666666664,6617.0,905.6763152501526,905.6763152501526,143.4383213084524,143.4383213084524,102.62074401083957,102.62074401083956,59.70057449688199,1.05,-2.15,0.2,0.15,3.1064969046460256
110,52.0,116.83333333333333,151.16666666666666,187.83333333333334,195.83333333333334,50.0,6203.0,728.5078090316472,728.507809031647,252.4429211674789,252.44292116747886,144.55196040691735,144.55196040691735,94.76358043213926,0.45,1.6,-0.95,-1.35,3.1814749239285334
111,66.0,78.16666666666667,137.5,141.66666666666666,143.16666666666666,40.0,4217.0,707.7237305555602,707.7237305555601,230.18826334610284,230.18826334610284,162.9072962715109,162.90729627151086,102.19099764656376,3.7,-2.0,-1.1,-0.05,2.9042160517045548
112,64.0,173.66666666666666,195.66666666666666,153.33333333333334,145.5,63.33333333333333,3882.0,378.3135553121919,378.3135553121919,155.95832109969248,155.95832109969248,105.77458683121026,105.77458683121026,31.571966315328037,2.4,-4.75,1.65,0.9,3.042845487816544
113,51.0,142.33333333333334,201.5,242.33333333333334,248.66666666666666,43.333333333333336,4383.0,633.3123498698058,633.3123498698056,341.0926657309761,341.0926657309761,330.70755139365986,330.70755139365986,234.17997585707178,0.95,0.1,-0.75,-1.35,3.089055299853874
