,Date_Time,Diff
16476,2017-11-23 02:30:10,-6.990833333333334
16389,2017-11-23 09:29:37,-3.4788888888888887
16339,2017-11-23 12:58:21,-5.100833333333333
16295,2017-11-23 18:04:24,-11.843055555555555
16133,2017-11-24 05:54:59,-3.7911111111111113
16082,2017-11-24 09:42:27,-2.8941666666666666
16056,2017-11-24 12:36:06,-6.0175
16026,2017-11-24 18:37:09,-13.252777777777778
15935,2017-11-25 07:52:19,-4.449166666666668
15910,2017-11-25 12:19:16,-7.875277777777778
15858,2017-11-25 20:11:47,-12.016666666666667
15779,2017-11-26 08:12:47,-5.072777777777778
15731,2017-11-26 13:17:09,-4.908611111111111
15700,2017-11-26 18:11:40,-16.089166666666667
15532,2017-11-27 10:17:01,-3.9722222222222223
15510,2017-11-27 14:15:21,-4.361944444444445
15495,2017-11-27 18:37:04,-15.374166666666667
15305,2017-11-28 09:59:31,-5.282777777777778
15256,2017-11-28 15:16:29,-9.556111111111111
15187,2017-11-29 00:49:51,-5.047777777777778
15145,2017-11-29 05:52:43,-4.3291666666666675
15099,2017-11-29 10:12:28,-3.1630555555555557
15058,2017-11-29 13:22:15,-3.366388888888889
15037,2017-11-29 16:44:14,-3.0541666666666667
15019,2017-11-29 19:47:29,-10.095555555555556
14970,2017-11-30 05:53:13,-3.3519444444444444
14919,2017-11-30 09:14:20,-4.489444444444445
14907,2017-11-30 13:43:42,-5.175833333333333
14863,2017-11-30 18:54:15,-14.536944444444444
14701,2017-12-01 09:26:28,-3.466666666666667
14666,2017-12-01 12:54:28,-2.142777777777778
14661,2017-12-01 15:03:02,-4.9527777777777775
14606,2017-12-01 20:00:12,-13.834722222222222
14484,2017-12-02 09:50:17,-4.946666666666666
14445,2017-12-02 14:47:05,-4.211111111111111
14413,2017-12-02 18:59:45,-15.675
14266,2017-12-03 10:40:15,-7.285
14201,2017-12-03 17:57:21,-12.908055555555556
14081,2017-12-04 06:51:50,-3.597777777777778
14052,2017-12-04 10:27:42,-3.633888888888889
14021,2017-12-04 14:05:44,-4.206111111111111
13989,2017-12-04 18:18:06,-13.260833333333334
13865,2017-12-05 07:33:45,-7.1338888888888885
13800,2017-12-05 14:41:47,-3.4922222222222223
13769,2017-12-05 18:11:19,-12.032777777777778
13628,2017-12-06 06:13:17,-3.1955555555555555
13590,2017-12-06 09:25:01,-4.440833333333334
13539,2017-12-06 13:51:28,-9.214444444444444
13461,2017-12-06 23:04:20,-10.876388888888888
13350,2017-12-07 09:56:55,-4.536388888888889
13310,2017-12-07 14:29:06,-19.11138888888889
13163,2017-12-08 09:35:47,-7.240555555555556
13087,2017-12-08 16:50:13,-3.1019444444444444
13059,2017-12-08 19:56:20,-12.445
12946,2017-12-09 08:23:02,-5.026666666666666
12902,2017-12-09 13:24:38,-7.823055555555555
12823,2017-12-09 21:14:01,-4.233611111111111
12771,2017-12-10 01:28:02,-10.129444444444445
12693,2017-12-10 11:35:48,-7.413888888888889
12600,2017-12-10 19:00:38,-10.02361111111111
12520,2017-12-11 05:02:03,-6.091111111111111
12451,2017-12-11 11:07:31,-2.428611111111111
12433,2017-12-11 13:33:14,-4.855555555555555
12392,2017-12-11 18:24:34,-11.508888888888889
12274,2017-12-12 05:55:06,-3.513611111111111
12254,2017-12-12 09:25:55,-5.1097222222222225
12214,2017-12-12 14:32:30,-15.848888888888888
12089,2017-12-13 06:23:26,-3.048888888888889
12043,2017-12-13 09:26:22,-8.465000000000002
11965,2017-12-13 17:54:16,-13.632222222222222
11872,2017-12-14 07:32:12,-2.517777777777778
11852,2017-12-14 10:03:16,-5.225833333333333
11823,2017-12-14 15:16:49,-5.319444444444445
11752,2017-12-14 20:35:59,-8.955277777777779
11666,2017-12-15 05:33:18,-4.1577777777777785
11629,2017-12-15 09:42:46,-6.807222222222222
11535,2017-12-15 16:31:12,-2.814722222222222
11502,2017-12-15 19:20:05,-22.685277777777777
11293,2017-12-16 18:01:12,-13.44361111111111
11154,2017-12-17 07:27:49,-7.318333333333333
11097,2017-12-17 14:46:55,-4.209722222222223
11063,2017-12-17 18:59:30,-15.026944444444444
